reltime,datetime,iSensor,confidence,heart_rate
31.258,2024/06/13 11:30:41.7779,5,1.0,63.0
31.71,2024/06/13 11:30:42.2299,3,1.0,65.0
31.751,2024/06/13 11:30:42.2709,5,1.0,63.0
31.956,2024/06/13 11:30:42.4759,3,1.0,65.0
31.997,2024/06/13 11:30:42.5169,5,1.0,63.0
32.203,2024/06/13 11:30:42.7229,3,1.0,65.0
32.244,2024/06/13 11:30:42.7639,5,1.0,63.0
32.49,2024/06/13 11:30:43.0099,5,1.0,63.0
32.696,2024/06/13 11:30:43.2159,3,1.0,65.0
32.737,2024/06/13 11:30:43.2569,5,1.0,63.0
32.942,2024/06/13 11:30:43.4619,3,1.0,65.0
33.188,2024/06/13 11:30:43.7079,3,1.0,65.0
33.229,2024/06/13 11:30:43.7489,5,1.0,63.0
33.435,2024/06/13 11:30:43.9549,3,1.0,65.0
33.475,2024/06/13 11:30:43.9949,5,1.0,63.0
33.681,2024/06/13 11:30:44.2009,3,1.0,65.0
33.721,2024/06/13 11:30:44.2409,5,1.0,63.0
33.927,2024/06/13 11:30:44.4469,3,1.0,65.0
33.968,2024/06/13 11:30:44.4879,5,1.0,63.0
34.173,2024/06/13 11:30:44.6929,3,1.0,65.0
34.214,2024/06/13 11:30:44.7339,5,1.0,63.0
34.419,2024/06/13 11:30:44.9389,3,1.0,65.0
34.46,2024/06/13 11:30:44.9799,5,1.0,63.0
34.666,2024/06/13 11:30:45.1859,3,1.0,65.0
34.707,2024/06/13 11:30:45.2269,5,1.0,63.0
34.912,2024/06/13 11:30:45.4319,3,1.0,65.0
34.952,2024/06/13 11:30:45.4719,5,1.0,63.0
35.159,2024/06/13 11:30:45.6789,3,1.0,65.0
35.198,2024/06/13 11:30:45.7179,5,1.0,63.0
35.404,2024/06/13 11:30:45.9239,3,1.0,65.0
35.446,2024/06/13 11:30:45.9659,5,1.0,63.0
35.651,2024/06/13 11:30:46.1709,3,1.0,65.0
35.692,2024/06/13 11:30:46.2119,5,1.0,63.0
35.937,2024/06/13 11:30:46.4569,5,1.0,63.0
36.143,2024/06/13 11:30:46.6629,3,1.0,64.0
36.184,2024/06/13 11:30:46.7039,5,1.0,63.0
36.39,2024/06/13 11:30:46.9099,3,1.0,64.0
36.431,2024/06/13 11:30:46.9509,5,1.0,63.0
36.635,2024/06/13 11:30:47.1549,3,1.0,64.0
36.676,2024/06/13 11:30:47.1959,5,1.0,63.0
36.882,2024/06/13 11:30:47.4019,3,1.0,64.0
36.923,2024/06/13 11:30:47.4429,5,1.0,63.0
37.129,2024/06/13 11:30:47.6489,3,1.0,64.0
37.169,2024/06/13 11:30:47.6889,5,1.0,63.0
37.374,2024/06/13 11:30:47.8939,3,1.0,64.0
37.415,2024/06/13 11:30:47.9349,5,1.0,63.0
37.621,2024/06/13 11:30:48.1409,3,1.0,64.0
37.662,2024/06/13 11:30:48.1819,5,1.0,63.0
37.868,2024/06/13 11:30:48.3879,3,1.0,64.0
37.908,2024/06/13 11:30:48.4279,5,1.0,63.0
38.113,2024/06/13 11:30:48.6329,3,1.0,64.0
38.155,2024/06/13 11:30:48.6749,5,1.0,63.0
38.359,2024/06/13 11:30:48.8789,3,1.0,64.0
38.4,2024/06/13 11:30:48.9199,5,1.0,63.0
38.605,2024/06/13 11:30:49.1249,3,1.0,64.0
38.647,2024/06/13 11:30:49.1669,5,1.0,63.0
38.853,2024/06/13 11:30:49.3729,3,1.0,64.0
38.893,2024/06/13 11:30:49.4129,5,1.0,63.0
39.098,2024/06/13 11:30:49.6179,3,1.0,64.0
39.14,2024/06/13 11:30:49.6599,5,1.0,63.0
39.344,2024/06/13 11:30:49.8639,3,1.0,64.0
39.386,2024/06/13 11:30:49.9059,5,1.0,63.0
39.591,2024/06/13 11:30:50.1109,3,1.0,64.0
39.632,2024/06/13 11:30:50.1519,5,1.0,63.0
39.838,2024/06/13 11:30:50.3579,3,1.0,64.0
39.879,2024/06/13 11:30:50.3989,5,1.0,63.0
40.083,2024/06/13 11:30:50.6029,3,1.0,64.0
40.124,2024/06/13 11:30:50.6439,5,1.0,63.0
40.331,2024/06/13 11:30:50.8509,3,1.0,64.0
40.371,2024/06/13 11:30:50.8909,5,1.0,63.0
40.576,2024/06/13 11:30:51.0959,3,1.0,64.0
40.617,2024/06/13 11:30:51.1369,5,1.0,63.0
40.823,2024/06/13 11:30:51.3429,3,1.0,64.0
40.863,2024/06/13 11:30:51.3829,5,1.0,63.0
41.068,2024/06/13 11:30:51.5879,3,1.0,64.0
41.11,2024/06/13 11:30:51.6299,5,1.0,63.0
41.315,2024/06/13 11:30:51.8349,3,1.0,64.0
41.356,2024/06/13 11:30:51.8759,5,1.0,63.0
41.562,2024/06/13 11:30:52.0819,3,1.0,64.0
41.602,2024/06/13 11:30:52.1219,5,1.0,63.0
41.808,2024/06/13 11:30:52.3279,3,1.0,64.0
41.849,2024/06/13 11:30:52.3689,5,1.0,63.0
42.053,2024/06/13 11:30:52.5729,3,1.0,64.0
42.094,2024/06/13 11:30:52.6139,5,1.0,63.0
42.341,2024/06/13 11:30:52.8609,5,1.0,63.0
42.547,2024/06/13 11:30:53.0669,3,1.0,64.0
42.587,2024/06/13 11:30:53.1069,5,1.0,63.0
42.793,2024/06/13 11:30:53.3129,3,1.0,64.0
42.833,2024/06/13 11:30:53.3529,5,1.0,63.0
43.039,2024/06/13 11:30:53.5589,3,1.0,64.0
43.08,2024/06/13 11:30:53.5999,5,1.0,63.0
43.286,2024/06/13 11:30:53.8059,3,1.0,65.0
43.325,2024/06/13 11:30:53.8449,5,1.0,63.0
43.532,2024/06/13 11:30:54.0519,3,1.0,65.0
43.573,2024/06/13 11:30:54.0929,5,1.0,63.0
43.777,2024/06/13 11:30:54.2969,3,1.0,65.0
43.818,2024/06/13 11:30:54.3379,5,1.0,63.0
44.024,2024/06/13 11:30:54.5439,3,1.0,65.0
44.065,2024/06/13 11:30:54.5849,5,1.0,63.0
