reltime,datetime,iSensor,ibi
115.689,2024/06/13 11:32:06.2089,3,955
116.223,2024/06/13 11:32:06.7429,5,923
116.47,2024/06/13 11:32:06.9899,5,923
116.674,2024/06/13 11:32:07.1939,3,891
116.716,2024/06/13 11:32:07.2359,5,923
116.962,2024/06/13 11:32:07.4819,5,923
117.208,2024/06/13 11:32:07.7279,5,923
117.455,2024/06/13 11:32:07.9749,5,938
117.66,2024/06/13 11:32:08.1799,3,921
117.701,2024/06/13 11:32:08.2209,5,938
117.948,2024/06/13 11:32:08.4679,5,938
118.194,2024/06/13 11:32:08.7139,5,938
118.44,2024/06/13 11:32:08.9599,5,938
118.644,2024/06/13 11:32:09.1639,3,975
118.686,2024/06/13 11:32:09.2059,5,938
118.932,2024/06/13 11:32:09.4519,5,938
119.178,2024/06/13 11:32:09.6979,5,938
119.425,2024/06/13 11:32:09.9449,5,938
119.629,2024/06/13 11:32:10.1489,3,934
119.671,2024/06/13 11:32:10.1909,5,938
119.918,2024/06/13 11:32:10.4379,5,938
120.164,2024/06/13 11:32:10.6839,5,938
120.41,2024/06/13 11:32:10.9299,5,937
120.614,2024/06/13 11:32:11.1339,3,970
120.656,2024/06/13 11:32:11.1759,5,938
120.903,2024/06/13 11:32:11.4229,5,938
121.149,2024/06/13 11:32:11.6689,5,938
121.396,2024/06/13 11:32:11.9159,5,938
121.641,2024/06/13 11:32:12.1609,5,938
121.846,2024/06/13 11:32:12.3659,3,1030
121.888,2024/06/13 11:32:12.4079,5,938
122.134,2024/06/13 11:32:12.6539,5,938
122.38,2024/06/13 11:32:12.8999,5,938
122.585,2024/06/13 11:32:13.1049,3,963
122.627,2024/06/13 11:32:13.1469,5,938
122.873,2024/06/13 11:32:13.3929,5,938
123.119,2024/06/13 11:32:13.6389,5,938
123.365,2024/06/13 11:32:13.8849,5,952
123.57,2024/06/13 11:32:14.0899,3,965
123.612,2024/06/13 11:32:14.1319,5,952
123.858,2024/06/13 11:32:14.3779,5,952
124.105,2024/06/13 11:32:14.6249,5,952
124.351,2024/06/13 11:32:14.8709,5,952
124.554,2024/06/13 11:32:15.0739,3,1035
124.597,2024/06/13 11:32:15.1169,5,952
124.844,2024/06/13 11:32:15.3639,5,952
125.089,2024/06/13 11:32:15.6089,5,952
125.336,2024/06/13 11:32:15.8559,5,952
125.54,2024/06/13 11:32:16.0599,3,943
125.581,2024/06/13 11:32:16.1009,5,952
125.828,2024/06/13 11:32:16.3479,5,952
126.074,2024/06/13 11:32:16.5939,5,952
126.32,2024/06/13 11:32:16.8399,5,952
126.525,2024/06/13 11:32:17.0449,3,937
126.567,2024/06/13 11:32:17.0869,5,952
126.813,2024/06/13 11:32:17.3329,5,952
127.06,2024/06/13 11:32:17.5799,5,952
127.51,2024/06/13 11:32:18.0299,3,1033
127.799,2024/06/13 11:32:18.3189,5,967
128.045,2024/06/13 11:32:18.5649,5,967
128.291,2024/06/13 11:32:18.8109,5,967
128.537,2024/06/13 11:32:19.0569,5,967
128.742,2024/06/13 11:32:19.2619,3,1019
128.784,2024/06/13 11:32:19.3039,5,967
129.03,2024/06/13 11:32:19.5499,5,967
129.276,2024/06/13 11:32:19.7959,5,967
129.48,2024/06/13 11:32:19.9999,3,972
129.522,2024/06/13 11:32:20.0419,5,967
129.769,2024/06/13 11:32:20.2889,5,967
130.015,2024/06/13 11:32:20.5349,5,967
130.261,2024/06/13 11:32:20.7809,5,967
130.466,2024/06/13 11:32:20.9859,3,999
130.507,2024/06/13 11:32:21.0269,5,983
130.753,2024/06/13 11:32:21.2729,5,983
131.0,2024/06/13 11:32:21.5199,5,983
131.204,2024/06/13 11:32:21.7239,3,944
131.247,2024/06/13 11:32:21.7669,5,983
131.493,2024/06/13 11:32:22.0129,5,983
131.738,2024/06/13 11:32:22.2579,5,983
131.985,2024/06/13 11:32:22.5049,5,983
132.232,2024/06/13 11:32:22.7519,5,983
132.436,2024/06/13 11:32:22.9559,3,868
132.477,2024/06/13 11:32:22.9969,5,1000
132.724,2024/06/13 11:32:23.2439,5,1000
132.971,2024/06/13 11:32:23.4909,5,1000
133.174,2024/06/13 11:32:23.6939,3,927
133.217,2024/06/13 11:32:23.7369,5,1000
133.463,2024/06/13 11:32:23.9829,5,1000
133.709,2024/06/13 11:32:24.2289,5,1000
